game,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38
ESPORTSTMNT01_2704707,RED: first_blood,RED: herald,BLUE: dragon,BLUE: herald,RED: dragon,BLUE: first_tower_bot,BLUE: first_tower_top,RED: first_tower_mid,BLUE: first_tower_mid,BLUE: dragon,RED: baron,RED: first_tower_bot,RED: second_tower_bot,RED: third_tower_bot,RED: dragon,RED: first_tower_top,RED: second_tower_mid,RED: baron,BLUE: dragon,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,
ESPORTSTMNT01_2704726,RED: first_blood,BLUE: herald,BLUE: dragon,BLUE: herald,BLUE: first_tower_bot,RED: first_tower_mid,RED: dragon,BLUE: first_tower_mid,BLUE: first_tower_top,BLUE: dragon,RED: second_tower_mid,BLUE: dragon,RED: baron,RED: first_tower_bot,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2704760,BLUE: first_blood,BLUE: herald,RED: dragon,BLUE: first_tower_bot,BLUE: first_tower_mid,BLUE: herald,BLUE: first_tower_top,BLUE: second_tower_top,BLUE: third_tower_top,RED: first_tower_bot,BLUE: second_tower_mid,BLUE: dragon,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: inhibitor_top,BLUE: dragon,BLUE: baron,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,
ESPORTSTMNT01_2704778,BLUE: first_blood,BLUE: herald,RED: dragon,RED: herald,RED: first_tower_mid,BLUE: first_tower_bot,RED: first_tower_bot,RED: second_tower_bot,BLUE: first_tower_mid,RED: dragon,RED: second_tower_mid,BLUE: baron,BLUE: first_tower_top,BLUE: dragon,RED: first_tower_top,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: second_tower_top,RED: baron,RED: dragon,RED: second_tower_top,BLUE: second_tower_bot,BLUE: dragon,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,
ESPORTSTMNT01_2704797,RED: dragon,RED: herald,RED: first_blood,RED: dragon,RED: first_tower_top,RED: herald,RED: first_tower_bot,RED: second_tower_bot,RED: dragon,RED: first_tower_mid,RED: second_tower_mid,RED: dragon,BLUE: first_tower_mid,RED: elder_dragon,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2704815,RED: dragon,BLUE: first_blood,BLUE: herald,BLUE: first_tower_top,RED: first_tower_bot,RED: dragon,RED: dragon,BLUE: herald,BLUE: first_tower_mid,BLUE: first_tower_bot,BLUE: second_tower_bot,BLUE: dragon,BLUE: baron,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2694921,BLUE: first_blood,RED: dragon,RED: herald,RED: first_tower_bot,RED: dragon,BLUE: first_tower_top,RED: first_tower_top,BLUE: herald,BLUE: first_tower_mid,RED: dragon,RED: dragon,RED: baron,RED: first_tower_mid,BLUE: second_tower_top,BLUE: second_tower_mid,RED: elder_dragon,RED: second_tower_mid,RED: second_tower_bot,RED: third_tower_mid,RED: inhibitor_mid,RED: baron,RED: second_tower_top,BLUE: first_tower_bot,RED: third_tower_top,RED: inhibitor_top,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,
ESPORTSTMNT01_2694943,RED: first_blood,RED: herald,RED: first_tower_bot,RED: dragon,RED: first_tower_mid,RED: first_tower_top,BLUE: first_tower_bot,RED: herald,RED: second_tower_top,RED: third_tower_top,RED: dragon,RED: second_tower_bot,RED: dragon,RED: second_tower_mid,RED: baron,RED: third_tower_mid,RED: inhibitor_mid,RED: third_tower_bot,RED: inhibitor_bot,RED: inhibitor_top,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090763,BLUE: first_blood,BLUE: herald,BLUE: dragon,BLUE: first_tower_bot,BLUE: first_tower_top,BLUE: herald,BLUE: first_tower_mid,BLUE: second_tower_mid,BLUE: dragon,BLUE: second_tower_bot,BLUE: baron,BLUE: dragon,BLUE: second_tower_top,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090769,BLUE: first_blood,RED: dragon,RED: herald,RED: first_tower_top,BLUE: first_tower_bot,RED: dragon,BLUE: first_tower_top,BLUE: first_tower_mid,BLUE: herald,BLUE: dragon,BLUE: first_tower_bot,BLUE: third_tower_bot,RED: first_tower_mid,BLUE: second_tower_mid,BLUE: baron,RED: dragon,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: second_tower_top,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,
ESPORTSTMNT04_2090772,BLUE: first_blood,RED: dragon,RED: herald,RED: first_tower_top,RED: dragon,RED: dragon,RED: first_tower_mid,RED: first_tower_bot,BLUE: first_tower_bot,RED: herald,BLUE: first_tower_top,RED: dragon,RED: baron,RED: second_tower_mid,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,BLUE: second_tower_top,BLUE: second_tower_bot,RED: third_tower_mid,RED: inhibitor_mid,RED: elder_dragon,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,
